uf,municipio,logradouro,complemento,bairro,telefone,id
PR,Curitiba,Alameda Dom Pedro Ii,432 -,Batel,41 - 30154601,1056107
PR,Curitiba,Rua General Carneiro,216 - Térreo,Centro,(41) 3028 6500,657773
PR,Curitiba,Rua Itacolomi,450 -,Portão,(41) 32467722,659753
PR,Curitiba,Rua Padre Dehon,814 -,Hauer,(41)33761417,658708
PR,Curitiba,"Av. Luiz Xavier, 103, Centro.",103 -,Centro,041 2102-3471,2003583
SP,Sao Paulo,Rua Adolfo Pinto,109 -,Barra Funda,(11) 3385-9080,1801
SP,Sao Paulo,Rua Amador Bueno,389/491 -,Santo Amaro,11-3385-9248,25206
PR,Curitiba,Rua Joaquim Nabuco,968 -,Tingui,0800 037 4212,141072
PR,Curitiba,Rua José Antônio Leprevost,331 -,Santa Cândida,41 91474452,658535
SP,Sao Paulo,Rua Vergueiro,235 -,Liberdade,11-3385-9248,706703
TO,Sampaio,Rua Airton Senna,405 -,Centro,(63)3436-1170,27901
TO,Paraiso do Tocantins,Rua Sete de Setembro,800 -,Centro,(63) 8403-1076,9943
MG,Itabira,Avenida Osório Sampaio,102 -,Vila Santa Rosa,(43) 3371-7473  (31) 2126-0820,7056
SP,Sao Paulo,Rua Diamantina,302 -,Vila Maria,11-3385-9248,657833
PR,Curitiba,Rua Dom Pedro Ii,432 -,Batel,(41) 3015-4601,106573
PR,Curitiba,Rua Uraí,78 -,Sítio Cercado,(41) 3349-7099 / 3563-1313,18380
PR,Curitiba,Rua Doutor Levy Buquéra,589 -,Sitio Cercado,(41)36431551,1043229
PR,Curitiba,"Avenida Silva Jardim, 1° e 2° Andares",167 -,Rebouças,(41) 3286-6599,7527
RO,Cacoal,Rua dos Esportes,1038 -,Incra,(69) 3441-4503,101190
PR,Curitiba,Rua Nilo Peçanha,1635 -,Bom Retiro,41-3028-2800,660066
PR,Curitiba,Rua Zonardy Ribas,750 -,Boqueirão,(41) 3028 -2824,1064704
RO,Cacoal,Avenida Cuiabá,3087 -,Jardim Clodoaldo,(69) 3441 1950,658870
PR,Curitiba,"Av. Presidente Getúlio Vargas, Nº 902",-,Rebouças,(41) 3028-2002,1926
PR,Curitiba,"Br 116 - Km 106,5",18.805 -,Pinheirinho,(41) 3296-2399,1049910
PR,Curitiba,Rua Paulo Martins,314 -,Mercês,(41) 3218-5550,689693
TO,Porto Nacional,Rua Engenheiro Rubens Reis Pereira de Andrade,1322 -,Jardim Brasília,(43) 3371-7473  (31) 2126-0820,5750
PR,Curitiba,Largo Coronel Enéas,14 - Largo da Ordem,Centro,(41) 3329-1587,9609
PR,Curitiba,Rua 24 de Maio,135 -,Centro,(41) 2105 4122,33342
PR,Curitiba,Praça General Osório,125 -,Centro,4133173088,1070337
PR,Curitiba,Alameda Doutor Muricy,380 -,Centro,(43) 3371-7473  (31) 2126-0820,1051548
TO,Palmas,"Rua So-05, Lote 013, 103 Sul",-,Plano Diretor Sul,(63)3225-1980,8354
TO,Palmas,Avenida Teothonio Segurado,1402 Sul - Conjunto 1,Centro,(63) 3221 2100,659111
PR,Curitiba,Rua Anne Frank,4145 - - de 2061/2062 A 4279/4280,Carmo,(011)47664466,25116
